  	   	   	   	   	   	   	@ 	#  	monitoringRefs 	isTerminus 	slugName                         	displayName                                                    	prevStops                         	nextStops                           	lineConnections
^ 	   	   	   	   	   	   	@ 	 1 	               	           	                                 	                                                               	                                  	                                    	
* 	   	   	   	   	   	   	@ 	 2 	        411439 	         1 	creil                            	Creil                                                          	                                  	saint-leu-d-esserent                	rer-d
* 	   	   	   	   	   	   	@ 	 3 	        411328 	         0 	saint-leu-d-esserent             	Saint-Leu-d'Esserent                                           	creil                             	precy-sur-oise                      	
* 	   	   	   	   	   	   	@ 	 4 	        411325 	         0 	precy-sur-oise                   	Précy-sur-Oise                                                 	saint-leu-d-esserent              	boran-sur-oise                      	
* 	   	   	   	   	   	   	@ 	 5 	        411331 	         0 	boran-sur-oise                   	Boran-sur-Oise                                                 	precy-sur-oise                    	bruyeres-sur-oise                   	
* 	   	   	   	   	   	   	@ 	 6 	         41104 	         0 	bruyeres-sur-oise                	Bruyères-sur-Oise                                              	boran-sur-oise                    	persan-beaumont                     	
| 	   	^  	   	^  	   	   	@ 	 7 	               	           	                                 	                                                               	                                  	                                    	
* 	   	*  	   	*  	   	   	@ 	 8 	         41105 	         1 	persan-beaumont                  	Persan – Beaumont                                              	bruyeres-sur-oise                 	champagne-sur-oise;nointel-mours    	
| 	   	|  	   	*  	   	   	@ 	 9 	         41125 	         0 	nointel-mours                    	Nointel – Mours                                                	persan-beaumont                   	presles-courcelles                  	
| 	   	|  	   	*  	   	   	@ 	10 	         41108 	         0 	presles-courcelles               	Presles-Courcelles                                             	nointel-mours                     	montsoult-maffliers                 	
| 	   	|  	   	|  	   	^  	@ 	11 	               	           	                                 	                                                               	                                  	                                    	
| 	   	|  	   	|  	   	*  	@ 	12 	         41115 	         1 	luzarches                        	Luzarches                                                      	                                  	seugy                               	
| 	   	|  	   	|  	   	*  	@ 	13 	         41079 	         0 	seugy                            	Seugy                                                          	luzarches                         	viarmes                             	
| 	   	|  	   	|  	   	*  	@ 	14 	         41114 	         0 	viarmes                          	Viarmes                                                        	seugy                             	belloy-saint-martin                 	
| 	   	|  	   	|  	   	*  	@ 	15 	         41113 	         0 	belloy-saint-martin              	Belloy – Saint-Martin                                          	viarmes                           	villaines                           	
| 	   	|  	   	|  	   	*  	@ 	16 	         41078 	         0 	villaines                        	Villaines                                                      	belloy-saint-martin               	montsoult-maffliers                 	
| 	   	|  	   	\o 	|  	o/ 	@ 	17 	               	           	                                 	                                                               	                                  	                                    	
| 	   	|  	   	\. 	|  	./ 	@ 	18 	               	           	                                 	                                                               	                                  	                                    	
| 	   	|  	   	   	*  	   	@ 	19 	         41107 	         1 	montsoult-maffliers              	Montsoult – Maffliers                                          	presles-courcelles;villaines      	bouffemont-moisselles               	
| 	   	|  	   	   	*  	   	@ 	20 	         41106 	         0 	bouffemont-moisselles            	Bouffémont – Moisselles                                        	montsoult-maffliers               	domont                              	
| 	   	|  	   	   	*  	   	@ 	21 	         41103 	         0 	domont                           	Domont                                                         	bouffemont-moisselles             	ecouen-ezanville                    	
| 	   	|  	   	   	*  	   	@ 	22 	         41102 	         0 	ecouen-ezanville                 	Écouen – Ézanville                                             	domont                            	sarcelles-saint-brice               	
| 	   	|  	   	   	*  	   	@ 	23 	        411423 	         1 	sarcelles-saint-brice            	Sarcelles – Saint-Brice                                        	ecouen-ezanville                  	groslay                             	
| 	   	|  	   	   	*  	   	@ 	24 	        411424 	         0 	groslay                          	Groslay                                                        	sarcelles-saint-brice             	deuil-montmagny                     	
| 	   	|  	   	   	*  	   	@ 	25 	        411425 	         0 	deuil-montmagny                  	Deuil – Montmagny                                              	groslay                           	epinay-villetaneuse                 	
| 	   	|  	   	   	|  	   	@ 	26 	               	           	                                 	                                                               	                                  	                                    	
| 	   	|  	   	   	|  	.\ 	@ 	27 	               	           	                                 	                                                               	                                  	                                    	
| 	   	|  	   	   	\o 	o\ 	@ 	28 	               	           	                                 	                                                               	                                  	                                    	
| 	   	|  	   	   	\. 	|  	@ 	29 	               	           	                                 	                                                               	                                  	                                    	
* 	   	*  	   	   	   	|  	@ 	30 	         41109 	         0 	champagne-sur-oise               	Champagne-sur-Oise                                             	#REF!                             	l-isle-adam-parmain                 	
* 	   	*  	   	   	   	|  	@ 	31 	         41110 	         0 	l-isle-adam-parmain              	L'Isle-Adam – Parmain                                          	champagne-sur-oise                	valmondois                          	
* 	   	*  	   	   	   	|  	@ 	32 	         41111 	         1 	valmondois                       	Valmondois                                                     	l-isle-adam-parmain               	auvers-sur-oise;meriel              	
| 	   	|  	.\ 	   	   	|  	@ 	33 	               	           	                                 	                                                               	                                  	                                    	
| 	   	\o 	|  	o\ 	   	|  	@ 	34 	               	           	                                 	                                                               	                                  	                                    	
| 	   	   	\. 	|  	   	|  	@ 	35 	               	           	                                 	                                                               	                                  	                                    	
| 	   	   	   	*  	   	|  	@ 	36 	         41124 	         0 	meriel                           	Mériel                                                         	valmondois                        	mery-sur-oise                       	
| 	   	   	   	*  	   	|  	@ 	37 	         41123 	         0 	mery-sur-oise                    	Méry-sur-Oise                                                  	meriel                            	frepillon                           	
| 	   	   	   	*  	   	|  	@ 	38 	         41122 	         0 	frepillon                        	Frépillon                                                      	mery-sur-oise                     	bessancourt                         	
| 	   	   	   	*  	   	|  	@ 	39 	         41121 	         0 	bessancourt                      	Bessancourt                                                    	frepillon                         	taverny                             	
| 	   	   	   	*  	   	|  	@ 	40 	         41120 	         0 	taverny                          	Taverny                                                        	bessancourt                       	vaucelles                           	
| 	   	   	   	*  	   	|  	@ 	41 	         41119 	         0 	vaucelles                        	Vaucelles                                                      	taverny                           	saint-leu-la-foret                  	
| 	   	   	   	*  	   	|  	@ 	42 	         41118 	         1 	saint-leu-la-foret               	Saint-Leu-la-Forêt                                             	vaucelles                         	gros-noyer-saint-prix               	
| 	   	   	   	*  	   	|  	@ 	43 	         41117 	         0 	gros-noyer-saint-prix            	Gros Noyer – Saint-Prix                                        	saint-leu-la-foret                	ermont-halte                        	
| 	   	   	   	*  	   	|  	@ 	44 	         41116 	         0 	ermont-halte                     	Ermont–Halte                                                   	gros-noyer-saint-prix             	ermont-eaubonne                     	
| 	   	   	   	|  	   	|  	@ 	45 	               	           	                                 	                                                               	                                  	                                    	
* 	   	   	   	|  	   	|  	@ 	46 	         41112 	         0 	auvers-sur-oise                  	Auvers-sur-Oise                                                	#REF!                             	chaponval                           	
* 	   	   	   	|  	   	|  	@ 	47 	         41094 	         0 	chaponval                        	Chaponval                                                      	auvers-sur-oise                   	pont-petit                          	
* 	   	   	   	|  	   	|  	@ 	48 	         41093 	         0 	pont-petit                       	Pont-Petit                                                     	chaponval                         	epluches                            	
* 	   	   	   	|  	   	|  	@ 	49 	         41092 	         0 	epluches                         	Épluches                                                       	pont-petit                        	saint-ouen-l-aumone                 	
| 	|  	o\ 	   	|  	   	|  	@ 	50 	               	           	                                 	                                                               	                                  	                                    	
| 	./ 	|  	   	|  	   	|  	@ 	51 	               	           	                                 	                                                               	                                  	                                    	
* 	   	|  	   	|  	   	|  	@ 	52 	         41090 	         0 	saint-ouen-l-aumone              	Saint-Ouen-l'Aumône                                            	epluches                          	pontoise;saint-ouen-l-aumone-liesse 	rer-c
* 	   	|  	   	|  	   	|  	@ 	53 	         41091 	         1 	pontoise                         	Pontoise                                                       	saint-ouen-l-aumone               	                                    	rer-c;transilien-j
v 	   	|  	   	|  	   	|  	@ 	54 	               	           	                                 	                                                               	                                  	                                    	
  	   	|  	   	|  	   	|  	@ 	55 	               	           	                                 	                                                               	                                  	                                    	
  	   	|  	   	|  	   	|  	@ 	56 	               	           	                                 	                                                               	                                  	                                    	
  	   	*  	   	|  	   	|  	@ 	57 	         41129 	         0 	saint-ouen-l-aumone-liesse       	Saint-Ouen-l'Aumône-Liesse                                     	saint-ouen-l-aumone               	pierrelaye                          	rer-c
  	   	*  	   	|  	   	|  	@ 	58 	         41089 	         0 	pierrelaye                       	Pierrelaye                                                     	saint-ouen-l-aumone-liesse        	montigny-beauchamp                  	rer-c
  	   	*  	   	|  	   	|  	@ 	59 	         41088 	         1 	montigny-beauchamp               	Montigny – Beauchamp                                           	pierrelaye                        	franconville-le-plessis-bouchard    	rer-c
  	   	*  	   	|  	   	|  	@ 	60 	         41087 	         0 	franconville-le-plessis-bouchard 	Franconville – Le Plessis-Bouchard                             	montigny-beauchamp                	cernay                              	rer-c
  	   	*  	   	|  	   	|  	@ 	61 	         41086 	         0 	cernay                           	Cernay                                                         	franconville-le-plessis-bouchard  	ermont-eaubonne                     	rer-c
  	   	|  	   	|  	   	|  	@ 	62 	               	           	                                 	                                                               	                                  	                                    	
  	   	\o 	|  	o/ 	   	|  	@ 	63 	               	           	                                 	                                                               	                                  	                                    	
  	   	\. 	|  	./ 	   	|  	@ 	64 	               	           	                                 	                                                               	                                  	                                    	
  	   	   	*  	   	   	|  	@ 	65 	         41085 	         1 	ermont-eaubonne                  	Ermont – Eaubonne                                              	cernay;ermont-halte               	champ-de-courses-d-enghien          	rer-c;transilien-j
  	   	   	*  	   	   	|  	@ 	66 	         41084 	         0 	champ-de-courses-d-enghien       	Champ de courses d'Enghien (Commune de Soisy-sous-Montmorency) 	ermont-eaubonne                   	enghien-les-bains                   	
  	   	   	*  	   	   	|  	@ 	67 	         41083 	         0 	enghien-les-bains                	Enghien-les-Bains                                              	champ-de-courses-d-enghien        	la-barre-ormesson                   	
  	   	   	*  	   	   	|  	@ 	68 	         41074 	         0 	la-barre-ormesson                	La Barre – Ormesson                                            	enghien-les-bains                 	epinay-villetaneuse                 	
  	   	   	|  	   	   	|  	@ 	69 	               	           	                                 	                                                               	                                  	                                    	
  	   	   	\o 	|  	|  	o/ 	@ 	70 	               	           	                                 	                                                               	                                  	                                    	
  	   	   	   	\. 	|  	./ 	@ 	71 	               	           	                                 	                                                               	                                  	                                    	
  	   	   	   	   	*  	   	@ 	72 	        411415 	         0 	epinay-villetaneuse              	Épinay – Villetaneuse                                          	la-barre-ormesson;deuil-montmagny 	saint-denis                         	tramway-11
  	   	   	   	   	*  	   	@ 	73 	        411414 	         0 	saint-denis                      	Saint-Denis (L'Île-Saint-Denis)                                	epinay-villetaneuse               	paris-nord                          	rer-d;tramway-1/gare-de-saint-denis;tramway-8/saint-denis-gare
  	   	   	   	   	*  	   	@ 	74 	         41071 	         1 	paris-nord                       	Paris–Nord                                                     	saint-denis                       	                                    	metro-4/gare-du-nord;metro-5/gare-du-nord;metro-2/la-chapelle;metro-7/gare-de-l-est;rer-b/gare-du-nord;rer-d;rer-e/magenta;transilien-k;transilien-p/paris-est
  	   	   	   	   	v  	   	@ 	75 	               	           	                                 	                                                               	                                  	                                    	