   	   	   	   	   	@ 	#  	monitoringRefs 	isTerminus 	slugName                             	displayName                            	prevStops                                       	nextStops                    	lineConnections
   	   	   	   	^  	@ 	 1 	               	           	                                     	                                       	                                                	                             	
   	   	   	   	*  	@ 	 2 	         40918 	         1 	cergy-le-haut                        	Cergy–Le Haut                          	                                                	cergy-saint-christophe       	rer-a
   	   	   	   	*  	@ 	 3 	        411368 	         0 	cergy-saint-christophe               	Cergy–Saint-Christophe                 	cergy-le-haut                                   	cergy-prefecture             	rer-a
   	   	   	   	*  	@ 	 4 	        411352 	         0 	cergy-prefecture                     	Cergy–Préfecture                       	cergy-saint-christophe                          	neuville-universite          	rer-a
   	   	   	   	*  	@ 	 5 	        411321 	         0 	neuville-universite                  	Neuville–Université                    	cergy-prefecture                                	conflans-fin-d-oise          	rer-a
   	   	   	   	*  	@ 	 6 	        411350 	         0 	conflans-fin-d-oise                  	Conflans–Fin-d'Oise                    	neuville-universite                             	acheres-ville                	rer-a;transilien-j
   	   	   	   	*  	@ 	 7 	         41528 	         0 	acheres-ville                        	Achères–Ville                          	conflans-fin-d-oise                             	maisons-laffitte             	rer-a
   	   	   	   	*  	@ 	 8 	         41527 	         1 	maisons-laffitte                     	Maisons-Laffitte                       	acheres-ville                                   	sartrouville                 	rer-a
   	   	   	   	*  	@ 	 9 	        411360 	         0 	sartrouville                         	Sartrouville                           	maisons-laffitte                                	houilles-carrieres-sur-seine 	rer-a
   	   	   	   	*  	@ 	10 	        411357 	         0 	houilles-carrieres-sur-seine         	Houilles – Carrières-sur-Seine         	sartrouville                                    	nanterre-universite          	rer-a;transilien-j
   	   	   	   	*  	@ 	11 	        411356 	         1 	nanterre-universite                  	Nanterre–Université                    	houilles-carrieres-sur-seine                    	la-garenne-colombes          	rer-a
   	   	   	   	*  	@ 	12 	         41195 	         0 	la-garenne-colombes                  	La Garenne-Colombes                    	nanterre-universite                             	les-vallees                  	tramway-2/charlebourg
   	   	   	   	*  	@ 	13 	         41196 	         0 	les-vallees                          	Les Vallées                            	la-garenne-colombes                             	becon-les-bruyeres           	
   	   	^  	   	|  	@ 	14 	               	           	                                     	                                       	                                                	                             	
   	   	*  	   	|  	@ 	15 	         41187 	         1 	saint-nom-la-breteche-foret-de-marly 	Saint-Nom-la-Bretèche – Forêt de Marly 	                                                	l-etang-la-ville             	tramway-13
   	   	*  	   	|  	@ 	16 	         41186 	         0 	l-etang-la-ville                     	L'Étang-la-Ville                       	saint-nom-la-breteche-foret-de-marly            	marly-le-roi                 	
   	   	*  	   	|  	@ 	17 	         41185 	         0 	marly-le-roi                         	Marly-le-Roi                           	l-etang-la-ville                                	louveciennes                 	
   	   	*  	   	|  	@ 	18 	         41184 	         0 	louveciennes                         	Louveciennes                           	marly-le-roi                                    	bougival                     	
   	   	*  	   	|  	@ 	19 	         41183 	         0 	bougival                             	Bougival                               	louveciennes                                    	la-celle-saint-cloud         	
   	   	*  	   	|  	@ 	20 	         41182 	         0 	la-celle-saint-cloud                 	La Celle-Saint-Cloud                   	bougival                                        	vaucresson                   	
   	   	*  	   	|  	@ 	21 	         41175 	         0 	vaucresson                           	Vaucresson                             	la-celle-saint-cloud                            	garches-marnes-la-coquette   	
   	   	*  	   	|  	@ 	22 	         41174 	         0 	garches-marnes-la-coquette           	Garches – Marnes-la-Coquette           	vaucresson                                      	saint-cloud                  	
^  	   	|  	   	|  	@ 	23 	               	           	                                     	                                       	                                                	                             	
*  	   	|  	   	|  	@ 	24 	         41190 	         1 	versailles-rive-droite               	Versailles–Rive Droite                 	                                                	montreuil                    	
*  	   	|  	   	|  	@ 	25 	         41191 	         0 	montreuil                            	Montreuil                              	versailles-rive-droite                          	viroflay-rive-droite         	
*  	   	|  	   	|  	@ 	26 	         41192 	         0 	viroflay-rive-droite                 	Viroflay–Rive Droite                   	montreuil                                       	chaville-rive-droite         	tramway-6
*  	   	|  	   	|  	@ 	27 	         41176 	         0 	chaville-rive-droite                 	Chaville–Rive Droite                   	viroflay-rive-droite                            	sevres-ville-d-avray         	transilien-u
*  	   	|  	   	|  	@ 	28 	         41177 	         0 	sevres-ville-d-avray                 	Sèvres – Ville d'Avray                 	chaville-rive-droite                            	saint-cloud                  	transilien-u
\o 	|  	o/ 	   	|  	@ 	29 	               	           	                                     	                                       	                                                	                             	
\. 	|  	./ 	   	|  	@ 	30 	               	           	                                     	                                       	                                                	                             	
   	*  	   	   	|  	@ 	31 	         41178 	         0 	saint-cloud                          	Saint-Cloud                            	sevres-ville-d-avray;garches-marnes-la-coquette 	le-val-d-or                  	tramway-2/parc-de-saint-cloud;transilien-u
   	*  	   	   	|  	@ 	32 	         41179 	         0 	le-val-d-or                          	Le Val d'Or                            	saint-cloud                                     	suresnes-mont-valerien       	tramway-2/les-coteaux
   	*  	   	   	|  	@ 	33 	         41180 	         0 	suresnes-mont-valerien               	Suresnes-Mont-Valérien                 	le-val-d-or                                     	puteaux                      	tramway-2/suresnes-longchamp;transilien-u
   	*  	   	   	|  	@ 	34 	         41181 	         0 	puteaux                              	Puteaux                                	suresnes-mont-valerien                          	la-defense                   	tramway-2;transilien-u
   	*  	   	   	|  	@ 	35 	         40951 	         0 	la-defense                           	La Défense (Grande Arche)              	puteaux                                         	courbevoie                   	metro-1;tramway-2;rer-a;transilien-u
   	*  	   	   	|  	@ 	36 	         41172 	         0 	courbevoie                           	Courbevoie                             	la-defense                                      	becon-les-bruyeres           	
   	\o 	|  	|  	o/ 	@ 	37 	               	           	                                     	                                       	                                                	                             	
   	\. 	|  	./ 	   	@ 	38 	               	           	                                     	                                       	                                                	                             	
   	   	*  	   	   	@ 	39 	         41171 	         0 	becon-les-bruyeres                   	Bécon-les-Bruyères                     	courbevoie;les-vallees                          	asnieres-sur-seine           	
   	   	*  	   	   	@ 	40 	         41138 	         0 	asnieres-sur-seine                   	Asnières-sur-Seine                     	becon-les-bruyeres                              	clichy-levallois             	transilien-j
   	   	*  	   	   	@ 	41 	         41137 	         0 	clichy-levallois                     	Clichy – Levallois                     	asnieres-sur-seine                              	pont-cardinet                	
   	   	*  	   	   	@ 	42 	        411351 	         0 	pont-cardinet                        	Pont-Cardinet                          	clichy-levallois                                	paris-saint-lazare           	metro-14
   	   	*  	   	   	@ 	43 	         41194 	         1 	paris-saint-lazare                   	Paris–Saint-Lazare                     	pont-cardinet                                   	                             	metro-3/saint-lazare;metro-12/saint-lazare;metro-13/saint-lazare;metro-14/saint-lazare;metro-9/saint-augustin;rer-a/auber;rer-e/haussmann-saint-lazare;transilien-j
   	   	v  	   	   	@ 	44 	               	           	                                     	                                       	                                                	                             	