   	   	   	   	@ 	#  	monitoringRefs 	isTerminus 	slugName                        	displayName                                        	prevStops                                    	nextStops                       	lineConnections
   	^  	   	   	@ 	 1 	               	           	                                	                                                   	                                             	                                	
   	*  	   	   	@ 	 2 	        411491 	         1 	dreux                           	Dreux                                              	                                             	marchezais-broue                	
   	*  	   	   	@ 	 3 	        411494 	         0 	marchezais-broue                	Marchezais – Broué                                 	dreux                                        	houdan                          	
   	*  	   	   	@ 	 4 	         41238 	         0 	houdan                          	Houdan                                             	marchezais-broue                             	tacoignieres-richebourg         	
   	*  	   	   	@ 	 5 	         41237 	         0 	tacoignieres-richebourg         	Tacoignières – Richebourg                          	houdan                                       	orgerus-behoust                 	
   	*  	   	   	@ 	 6 	         41236 	         0 	orgerus-behoust                 	Orgerus – Béhoust                                  	tacoignieres-richebourg                      	garancieres-la-queue            	
   	*  	   	   	@ 	 7 	         41235 	         0 	garancieres-la-queue            	Garancières – La Queue                             	orgerus-behoust                              	montfort-l-amaury-mere          	
   	*  	   	   	@ 	 8 	         41254 	         0 	montfort-l-amaury-mere          	Montfort-l'Amaury – Méré                           	garancieres-la-queue                         	villiers-neauphle-pontchartrain 	
   	*  	   	   	@ 	 9 	         41253 	         0 	villiers-neauphle-pontchartrain 	Villiers – Neauphle – Pontchartrain                	montfort-l-amaury-mere                       	plaisir-grignon                 	
   	|  	   	   	@ 	10 	               	           	                                	                                                   	                                             	                                	
   	|  	   	^  	@ 	11 	               	           	                                	                                                   	                                             	                                	
   	|  	   	*  	@ 	12 	         41150 	         1 	mantes-la-jolie                 	Mantes-la-Jolie                                    	                                             	epone-mezieres                  	transilien-j
   	|  	   	*  	@ 	13 	         41202 	         0 	epone-mezieres                  	Épône – Mézières                                   	mantes-la-jolie                              	nezel-aulnay                    	transilien-j
   	|  	   	*  	@ 	14 	         41160 	         0 	nezel-aulnay                    	Nézel – Aulnay                                     	epone-mezieres                               	maule                           	
   	|  	   	*  	@ 	15 	         41159 	         0 	maule                           	Maule                                              	nezel-aulnay                                 	mareil-sur-mauldre              	
   	|  	   	*  	@ 	16 	         41158 	         0 	mareil-sur-mauldre              	Mareil-sur-Mauldre                                 	maule                                        	beynes                          	
   	|  	   	*  	@ 	17 	         41231 	         0 	beynes                          	Beynes                                             	mareil-sur-mauldre                           	plaisir-grignon                 	
   	\o 	|  	o/ 	@ 	18 	               	           	                                	                                                   	                                             	                                	
   	\. 	|  	./ 	@ 	19 	               	           	                                	                                                   	                                             	                                	
   	   	*  	   	@ 	20 	         41234 	         1 	plaisir-grignon                 	Plaisir – Grignon                                  	villiers-neauphle-pontchartrain;beynes       	plaisir-les-clayes              	
   	   	*  	   	@ 	21 	         41246 	         0 	plaisir-les-clayes              	Plaisir – Les Clayes                               	plaisir-grignon                              	villepreux-les-clayes           	
   	   	*  	   	@ 	22 	         41233 	         0 	villepreux-les-clayes           	Villepreux – Les Clayes                            	plaisir-les-clayes                           	fontenay-le-fleury              	
   	   	*  	   	@ 	23 	         41232 	         0 	fontenay-le-fleury              	Fontenay-le-Fleury (Bois-d'Arcy)                   	villepreux-les-clayes                        	saint-cyr                       	
^  	   	|  	   	@ 	24 	               	           	                                	                                                   	                                             	                                	
*  	   	|  	   	@ 	25 	         41228 	         1 	rambouillet                     	Rambouillet                                        	                                             	le-perray                       	
*  	   	|  	   	@ 	26 	         41226 	         0 	le-perray                       	Le Perray                                          	rambouillet                                  	les-essarts-le-roi              	
*  	   	|  	   	@ 	27 	         41225 	         0 	les-essarts-le-roi              	Les Essarts-le-Roi                                 	le-perray                                    	coignieres                      	
*  	   	|  	   	@ 	28 	         41224 	         0 	coignieres                      	Coignières                                         	les-essarts-le-roi                           	la-verriere                     	
*  	   	|  	   	@ 	29 	         41223 	         0 	la-verriere                     	La Verrière                                        	coignieres                                   	trappes                         	transilien-u
*  	   	|  	   	@ 	30 	         41250 	         0 	trappes                         	Trappes                                            	la-verriere                                  	saint-quentin-en-yvelines       	transilien-u
*  	   	|  	   	@ 	31 	         41251 	         0 	saint-quentin-en-yvelines       	Saint-Quentin-en-Yvelines (Montigny-le-Bretonneux) 	trappes                                      	saint-cyr                       	rer-c;transilien-u
\o 	|  	o/ 	   	@ 	32 	               	           	                                	                                                   	                                             	                                	
\. 	|  	./ 	   	@ 	33 	               	           	                                	                                                   	                                             	                                	
   	*  	   	   	@ 	34 	         41222 	         0 	saint-cyr                       	Saint-Cyr                                          	saint-quentin-en-yvelines;fontenay-le-fleury 	versailles-chantiers            	tramway-13;rer-c;transilien-u
   	*  	   	   	@ 	35 	         41207 	         1 	versailles-chantiers            	Versailles–Chantiers                               	saint-cyr                                    	viroflay-rive-gauche            	rer-c;transilien-u
   	*  	   	   	@ 	36 	         41221 	         0 	viroflay-rive-gauche            	Viroflay–Rive Gauche                               	versailles-chantiers                         	chaville-rive-gauche            	tramway-6;rer-c
   	*  	   	   	@ 	37 	         41220 	         0 	chaville-rive-gauche            	Chaville–Rive Gauche                               	viroflay-rive-gauche                         	sevres-rive-gauche              	
   	*  	   	   	@ 	38 	         41216 	         1 	sevres-rive-gauche              	Sèvres–Rive Gauche                                 	chaville-rive-gauche                         	bellevue                        	
   	*  	   	   	@ 	39 	         41215 	         0 	bellevue                        	Bellevue                                           	sevres-rive-gauche                           	meudon                          	
   	*  	   	   	@ 	40 	         41214 	         0 	meudon                          	Meudon                                             	bellevue                                     	clamart                         	
   	*  	   	   	@ 	41 	         41206 	         0 	clamart                         	Clamart                                            	meudon                                       	vanves-malakoff                 	
   	*  	   	   	@ 	42 	         41205 	         0 	vanves-malakoff                 	Vanves – Malakoff                                  	clamart                                      	paris-montparnasse              	
   	*  	   	   	@ 	43 	         41203 	         1 	paris-montparnasse              	Paris–Montparnasse                                 	vanves-malakoff                              	                                	metro-4/montparnasse-bienvenue;metro-6/montparnasse-bienvenue;metro-12/montparnasse-bienvenue;metro-13/montparnasse-bienvenue
   	v  	   	   	@ 	44 	               	           	                                	                                                   	                                             	                                	